year,USA,Canada,Germany,Australia,UK,Switzerland,Japan,Sweden,Norway,Average
1986,1.750150876416079,4.173885567030178,-0.12501119067154232,9.084538389003093,3.3260711599256254,0.7524604829468373,0.6417104941519813,4.229741763802508,7.186768138363986,3.6587706005690834
1987,3.4400949017594717,4.364855458362138,0.2419899203429665,8.488745091606798,3.204947990539986,1.447487928236768,0.10626913680815697,4.228961988296853,8.725932003537306,3.8511486897163714
1988,3.6123853178606335,4.022673054648096,1.2736203333305607,7.231770741505783,3.7591936778733626,1.8594407411534286,0.7430982799054631,5.819672129454512,6.698484467507915,3.92599417817239
1989,4.371887107130412,4.995006104871802,2.778234497425025,7.55942201288442,5.237595173313903,3.1592241214886574,2.2128551848709765,6.42912470328858,4.5554422045716025,4.61586300033937
1990,4.931071047003455,4.764687511556853,2.6964692440699656,7.272265806943823,6.972683050229822,5.4106218067169864,3.0927839834201443,10.480349347535146,4.1130333580974066,5.600361763571268
1991,3.6382010999999936,5.615199999999998,3.636206899999994,3.2227000000000006,7.532649299999994,5.8440999999999965,3.300002000000002,9.321475600000007,3.4206826999999995,5.236627062499999
1992,2.4865918866281866,1.5058438558086307,5.057910026616375,0.9859265452269561,4.261548403978543,4.0526585799302905,1.6456909652334595,2.289846332809642,2.3421162351309865,2.7676926180918606
1993,2.5214082185150977,1.8414150007089125,4.457484366933784,1.8131166035433521,2.5065002512255186,3.3177885767831095,1.3333341803174692,4.653902823071698,2.271488926004661,2.7743788410735633
1994,2.088167058051793,0.18529085535132772,2.7334853722790653,1.8949330257871377,1.9784902486429168,0.8424468043969568,0.6578934105411882,2.1953279258325242,1.3985548294292105,1.485802809032541
1995,2.4090909423740925,2.168181236400879,1.8403574119383093,4.638182381416955,2.6564521361537086,1.8113889610287703,-0.093369934378984,2.5337372364409028,2.456405361711078,2.2514168488389523
1996,2.663115791970716,1.560486642041048,1.4877703963448674,2.6123811720498713,2.400308446753252,0.8124138131747616,0.09345719530091667,0.4566210053109421,1.2596558026943594,1.3353868092087524
1997,2.1616948119039803,1.6114702967025663,1.5186530129254416,0.22471911080030882,1.8246062734465385,0.5188607313341365,1.7740439726217305,0.5347593352815316,2.5797669647716237,1.3233599622354846
1998,1.3542106884419924,0.987184395819396,0.5853658542156026,0.8594917870589747,1.5573975192430867,0.01851283679954463,0.6422005422102695,-0.15957442088382345,2.488124282551585,0.8723378496268294
1999,2.129436391748385,1.7446574823337224,0.6789524063901098,1.4079288093209685,1.3287103151096602,0.8078828352139578,-0.2734711030082049,0.4794884843682956,2.333138894790099,1.0634110155648262
2000,3.3932950996196976,2.736907882523454,1.4026975157003019,4.457435145424493,0.796456402034007,1.5617743037461773,-0.7312629651848535,0.9809120417983541,3.0860679314468342,1.7863735321860958
2001,2.846975159144405,2.5077843623900753,1.9001292379407175,4.407135392566053,1.2335119744525391,0.9900779726323305,-0.7397091126164379,2.4415857120933415,3.017377530864618,1.9697366337904048
2002,1.5763167925129995,2.2756328988501107,1.3052882317373893,3.0485762175280096,1.2589129422303502,0.6412956588377039,-0.9241561365986639,2.1527421683411596,1.2881459845040188,1.38080474567876
2003,2.2710067677710333,2.741999935507189,1.0933588883238698,2.73081921398568,1.361592662892841,0.6361629448625283,-0.2585915663806726,1.9317611761508369,2.475397426835668,1.5890625852722424
2004,2.7017024559172986,1.840532641599557,1.7503610954585858,2.3417721565503813,1.3435230623573657,0.80057393296733,-0.010288169975669614,0.3691852964241127,0.46539114826087413,1.112631395455317
2005,3.3873874065333265,2.230653803010574,1.9290188215342452,2.6592455369234047,2.056943709588399,1.1727573896725296,-0.2829537850973063,0.46591469994243795,1.5220588699280446,1.469204880687791
2006,3.241547575461423,2.017444621233544,1.7848364790639781,3.5542169054801676,2.328712504802355,1.063330847956867,0.25176960577868446,1.3668538105628514,2.332150347870643,1.837414390343636
2007,2.83592169863478,2.1305842267351993,2.289374169030789,2.356020909491585,2.32284160250138,0.7343817943358255,0.06278428262811442,2.1911870535859856,0.7289971050514099,1.6020213929200362
2008,3.8411030806180246,2.3849259761712815,2.745115620855798,4.3478260784333145,3.6019155329754415,2.428424058255141,1.3845030427483307,3.4401508323143704,3.7661607272967634,3.012377733631305
2009,-0.3477711152118812,0.29971605743472907,0.24617071301571425,1.7701524984374606,2.1653204923674174,-0.47905831038844715,-1.3493633245765135,-0.27334850754717754,2.1668472379316572,0.568304607084355
2010,1.6497461978333794,1.7693315563269252,1.1186903112954338,2.8632593407753815,3.2981715213497687,0.6876633122518516,-0.7219622484040067,1.2791228317237113,2.39925768770064,1.5866917891274632
2011,3.1523095688180014,2.890749080825006,2.4824608622046274,3.3558792568137097,4.4636933304333715,0.22830606861705682,-0.27244572223490415,2.616147972662608,1.3009708776289708,2.133220215868806
2012,2.1180030443798348,1.529513862645926,2.1506055850193384,1.6863831201217927,2.8282421026474047,-0.6930924838433272,-0.05609226912883791,0.8791209080107221,0.7092198917707293,1.1292375896554685
2013,1.4814815110171686,0.9245941979115768,1.5980699531581433,2.475247479105591,2.5647988252750276,-0.21565241823365833,0.3429783365461292,-0.043573015933584536,2.131709164278872,1.222271565263512
2014,1.6934306462891069,1.9201954473396121,0.76921512934649,2.4879227205279353,1.4610313907780892,-0.011788260107692405,2.761377969840262,-0.1743679088034522,2.0250962584535737,1.4048353434218521
2015,0.17226527376461576,1.1185860989207042,0.6797583407330832,1.484798501544904,0.040099399588511275,-1.1416333088976938,0.7922428889710176,-0.043668153533293896,2.1736483714701826,0.6379790173496769
2016,1.2897678447635341,1.4357054043061312,0.3750937634209528,1.277287525226889,0.659666076561094,-0.4342986102813584,-0.11400229752901447,0.9829620329869782,3.5456766414833085,0.9660113170218726
2017,2.1505376368171403,1.603115823213841,1.711011458834899,1.9949552655834424,2.6999999905107153,0.5330139205098172,0.48622867050469587,1.7953709429620046,1.8499999670872347,1.5842120049008312
2018,2.437673104013971,2.2679701089034277,1.9350034634801228,1.9334532517754743,2.5000000067542327,0.9343080008292981,0.9890544734634465,1.9549511068650993,2.766666668498119,1.9101758850711523
2019,1.8117901804155068,1.9492738955879885,1.353299670808017,1.565946184004341,1.8000000320513854,0.3611362150034214,0.46808765332060354,1.792413523985159,2.1750000243760503,1.4331446498921205
2020,1.2483399540896611,0.7170013971224964,0.3717401222027128,0.8903365623174064,0.8999999808399384,-0.7256047621009065,-0.026994612369835025,0.49140053248555304,1.2750000197977895,0.4866099050368944
